group,iso,pct_cat,tool,disp,exp,n
Lab1 NEBNext,add3p,<0.1,isomirsea,0.9537063835366114,0.4775802328221481,951
Lab1 NEBNext,add3p,0.1-1,isomirsea,0.9537063835366114,1.0571584078382648,1376
Lab1 NEBNext,add3p,1-5,isomirsea,0.9537063835366114,1.5777993952417568,606
Lab1 NEBNext,add3p,5-10,isomirsea,0.9537063835366114,0.9419903676166086,109
Lab1 NEBNext,add3p,10-20,isomirsea,1.1882323745839076,1.1640428791181798,49
Lab1 NEBNext,add3p,20-50,isomirsea,1.622248168848178,1.2637356073458479,21
Lab1 NEBNext,add3p,>50,isomirsea,1.762595203577308,1.5035334195882903,6
Lab1 NEBNext,add3p shift5p,<0.1,isomirsea,0.9537063835366114,0.47177346307355617,297
Lab1 NEBNext,add3p shift5p,0.1-1,isomirsea,0.9537063835366114,0.9246949119202541,518
Lab1 NEBNext,add3p shift5p,1-5,isomirsea,0.9537063835366114,1.3474612929909058,156
Lab1 NEBNext,add3p shift5p,5-10,isomirsea,0.9537063835366114,0.831350504036493,29
Lab1 NEBNext,add3p shift5p,10-20,isomirsea,1.615348285387213,1.2117623099176973,16
Lab1 NEBNext,add3p shift5p,20-50,isomirsea,1.4749401312776307,0.9419903676166086,11
Lab1 NEBNext,add3p shift5p,>50,isomirsea,1.6710104240397596,0.9419903676166086,3
Lab1 NEBNext,reference,0.1-1,isomirsea,0.3976845640007225,10.309411278456171,18
Lab1 NEBNext,reference,1-5,isomirsea,0.46698381506195474,5.751166875530858,112
Lab1 NEBNext,reference,5-10,isomirsea,0.9537063835366114,2.482680965087732,111
Lab1 NEBNext,reference,10-20,isomirsea,0.9537063835366114,2.9343632960341415,130
Lab1 NEBNext,reference,20-50,isomirsea,1.152647757573806,1.6667621085240023,139
Lab1 NEBNext,reference,>50,isomirsea,1.259632284132278,1.18493425871663,44
Lab1 NEBNext,shift3p,<0.1,isomirsea,0.9537063835366114,0.6057462508034307,27
Lab1 NEBNext,shift3p,0.1-1,isomirsea,0.9537063835366114,1.9296734243128892,311
Lab1 NEBNext,shift3p,1-5,isomirsea,0.9537063835366114,2.676298534897766,534
Lab1 NEBNext,shift3p,5-10,isomirsea,1.1258525933536705,2.132445987437108,257
Lab1 NEBNext,shift3p,10-20,isomirsea,1.525500065686834,1.859602749734091,200
Lab1 NEBNext,shift3p,20-50,isomirsea,1.8814554266530863,1.634562926178589,111
Lab1 NEBNext,shift3p,>50,isomirsea,1.9885843260158134,1.273545887812785,32
Lab1 NEBNext,shift5p,<0.1,isomirsea,0.9537063835366114,0.681026116292728,43
Lab1 NEBNext,shift5p,0.1-1,isomirsea,0.9537063835366114,1.2829349085118533,91
Lab1 NEBNext,shift5p,1-5,isomirsea,0.9537063835366114,1.7786339321524285,97
Lab1 NEBNext,shift5p,5-10,isomirsea,1.449143867318118,1.273545887812785,28
Lab1 NEBNext,shift5p,10-20,isomirsea,1.4101125829981682,1.5868029560126218,21
Lab1 NEBNext,shift5p,20-50,isomirsea,1.75766716925148,1.3625638490578247,14
Lab1 NEBNext,shift5p,>50,isomirsea,2.195978095741183,1.5429592472940254,4
Lab1 NEBNext,shift5p shift3p,<0.1,isomirsea,0.9537063835366114,0.5353554212009658,93
